halt_punkt_id;halt_punkt_diva;halt_id;GPS_Latitude;GPS_Longitude;GPS_Bearing;halt_punkt_ist_aktiv
303;51;143;47,360017;8,456337;85;TRUE
686;50;309;47,368125;8,463072;212;FALSE
823;51;373;47,452401;8,571871;208;FALSE
1290;56;588;47,450402;8,563724;297;TRUE
1371;51;623;47,29513;8,564314;310;FALSE
1558;1;701;47,370287;8,514156;79;TRUE
1622;50;729;47,370671;8,453826;295;TRUE
1671;51;751;47,437516;8,560615;325;TRUE
1790;50;809;47,356969;8,43866;288;FALSE
1836;50;832;47,317901;8,541632;347;FALSE
1838;50;833;47,318411;8,539076;160;TRUE
1944;50;891;47,368413;8,462031;290;FALSE
1984;50;914;47,290227;8,559715;154;FALSE
2169;50;1005;47,287666;8,562253;18;TRUE
2184;50;1010;47,36899;8,501723;261;TRUE
2300;50;1067;47,433551;8,565714;208;FALSE
2391;50;1114;47,396651;8,613102;258;FALSE
2718;50;1259;47,324513;8,548132;166;TRUE
2741;50;1270;47,368223;8,495088;242;TRUE
2813;50;1300;47,29121;8,565064;63;FALSE
6126;2;1305;47,370228;8,548964;203;FALSE
2827;90;1306;47,374083;8,52566;;TRUE
2831;86;1308;47,374422;8,547754;170;TRUE
2846;81;1309;47,398499;8,533033;348;FALSE
2858;50;1310;47,390874;8,479377;32;TRUE
2865;20;1311;47,410213;8,545994;156;FALSE
2879;57;1312;47,40549;8,404606;330;TRUE
2989;50;1362;47,431445;8,543705;159;FALSE
2999;51;1366;47,40938;8,595189;269;FALSE
3011;50;1370;47,431125;8,466205;15;FALSE
3017;80;1372;47,395972;8,600237;99;FALSE
3026;51;1377;47,441713;8,568551;51;FALSE
3031;50;1378;47,436049;8,558754;236;FALSE
3035;1;1379;47,425399;8,560678;29;TRUE
3066;50;1392;47,411639;8,597436;117;FALSE
3068;20;1393;47,40853;8,580278;110;TRUE
3086;51;1400;47,434596;8,567566;317;TRUE
3095;50;1405;47,321773;8,547718;334;FALSE
6114;0;1406;47,365986;8,562499;121;FALSE
3097;50;1407;47,324973;8,545191;169;TRUE
3118;50;1417;47,438337;8,534965;153;FALSE
3120;50;1418;47,402687;8,601509;114;TRUE
3162;50;1437;47,381836;8,667934;104;FALSE
3174;50;1443;47,414293;8,551468;261;FALSE
3184;50;1445;47,397038;8,616634;260;TRUE
3200;51;1449;47,404646;8,595497;292;TRUE
3205;53;1452;47,431284;8,558508;128;TRUE
3214;20;1454;47,412096;8,483807;216;FALSE
3218;50;1456;47,395464;8,604174;83;FALSE
3257;50;1475;47,395821;8,607149;78;FALSE
3302;50;1499;47,332962;8,534693;168;FALSE
3304;20;1500;47,333124;8,518382;212;FALSE
3306;22;1501;47,404969;8,572861;4;FALSE
3311;1;1502;47,373438;8,529235;255;FALSE
6205;10;1503;47,35518;8,600911;311;FALSE
3321;1;1504;47,398125;8,542047;26;FALSE
3344;50;1509;47,319085;8,55126;70;TRUE
3346;50;1510;47,318753;8,534255;157;TRUE
3348;1;1511;47,343538;8,530146;327;FALSE
3361;51;1517;47,41397;8,450092;171;FALSE
3364;51;1518;47,324164;8,540386;342;TRUE
3367;51;1520;47,392151;8,427968;235;FALSE
3369;50;1521;47,329183;8,539563;342;FALSE
3371;50;1522;47,380181;8,429746;305;TRUE
6138;10;1523;47,395845;8,532091;192;FALSE
3372;51;1524;47,322241;8,550466;346;TRUE
3375;0;1525;47,401934;8,534972;212;FALSE
3378;50;1526;47,322901;8,542648;233;TRUE
3383;90;1528;47,369559;8,538901;;TRUE
3398;50;1530;47,326221;8,540719;349;FALSE
6140;1;1531;47,368122;8,560241;289;TRUE
3400;1;1532;47,400376;8,543683;40;FALSE
3405;55;1533;47,321636;8,545162;162;FALSE
3410;0;1534;47,372382;8,526711;208;FALSE
3414;93;1535;47,378215;8,509972;;TRUE
3426;50;1536;47,315228;8,535695;146;TRUE
3428;50;1537;47,397327;8,447219;88;TRUE
3431;50;1538;47,32467;8,542949;167;TRUE
